case,degree_yrs,pubs,cits,salary,gender
1,3,18,50,51876,female
2,6,3,26,54511,female
3,3,2,50,53425,female
4,8,17,34,61863,male
5,9,11,41,52926,female
6,6,6,37,47034,male
7,16,38,48,66432,male
8,10,48,56,61100,male
9,2,9,19,41934,male
10,5,22,29,47454,male
11,5,30,28,49832,female
12,6,21,31,47047,male
13,7,10,25,39115,female
14,11,27,40,59677,male
15,18,37,61,61458,male
16,6,8,32,54528,male
17,9,13,36,60327,female
18,7,6,69,56600,male
19,7,12,47,52542,female
20,3,29,29,50455,female
21,7,29,35,51647,female
22,5,7,35,62895,male
23,7,6,18,53740,male
24,13,69,90,75822,male
25,5,11,60,56596,male
26,8,9,30,55682,female
27,8,20,27,62091,female
28,7,41,35,42162,female
29,2,3,14,52646,female
30,13,27,56,74199,male
31,5,14,50,50729,male
32,3,23,25,70011,male
33,1,1,35,37939,male
34,3,7,1,39652,male
35,9,19,69,68987,male
36,3,11,69,55579,male
37,9,31,27,54671,male
38,3,9,50,57704,male
39,4,12,32,44045,female
40,10,32,33,51122,male
41,1,26,45,47082,male
42,11,12,54,60009,male
43,5,9,47,58632,male
44,1,6,29,38340,male
45,21,39,69,71219,male
46,7,16,47,53712,female
47,5,12,43,54782,female
48,16,50,55,83503,male
49,5,18,33,47212,male
50,4,16,28,52840,female
51,5,5,42,53650,female
52,11,20,24,50931,male
53,16,50,31,66784,female
54,3,6,27,49751,female
55,4,19,83,74343,female
56,4,11,49,57710,female
57,5,13,14,52676,male
58,6,3,36,41195,female
59,4,8,34,45662,female
60,8,11,70,47606,female
61,3,25,27,44301,female
62,4,4,28,58582,female
